recipe_title,description,num_steps,combined_text,ingredients_raw,cuisine_list,tastes,cook_speed,est_cook_time_min,difficulty,dietary_profile,healthiness_score,health_flags,health_level
Air Fryer Potato Slices with Dipping Sauce,"These air fryer potato slices, served with a beer ketchup dipping sauce, are a tasty finger food somewhere between a French fry and a potato chip. Do take the time to make the dipping sauceƒ??it's worth it.",5,"air fryer potato slices with dipping sauce air fryer recipes air fryer recipes 3/4 cup ketchup 1/2 cup beer 1 tablespoon worcestershire sauce 1/2 teaspoon onion powder 1/4 teaspoon cayenne 2 baking potatoes olive oil cooking spray 1/2 teaspoon garlic powder salt and freshly ground black pepper combine ketchup, beer, worcestershire sauce, onion powder, and cayenne in a small saucepan. bring to a boil, then reduce heat, and simmer for 3 to 5 minutes. remove from heat, and cool. cover and store in the refrigerator until ready to use. preheat the air fryer to 400 degrees f (200 degrees c). spray the basket with cooking spray or line with a disposable parchment liner. slice potatoes 1/4-inch thick (use a mandoline if you have one), and place in a bowl. spray potatoes with olive oil spray, and sprinkle with garlic powder, salt and pepper. give the potatoes a good stir. place potatoes in a single layer in the air fryer, and cook, shaking occasionally, until they start to crisp up a bit and turn golden brown, 14 to 17 minutes. cooking times can vary depending on the brand and size of the fryer, and you may have to cook in batches. remove from the fryer, and serve with beer ketchup dipping sauce.","[""3/4 cup ketchup"", ""1/2 cup beer"", ""1 tablespoon Worcestershire sauce"", ""1/2 teaspoon onion powder"", ""1/4 teaspoon cayenne"", ""2 baking potatoes"", ""olive oil cooking spray"", ""1/2 teaspoon garlic powder"", ""salt and freshly ground black pepper""]","[""american"", ""american_region"", ""asian"", ""european"", ""greek"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""spicy"", ""bitter"", ""savory""]",medium,74,hard,"[""vegan"", ""gluten_free"", ""nut_free"", ""kosher""]",80,"[""plant_based"", ""healthy_fats"", ""fried""]",healthy
Gochujang Pork Belly Bites,"These gochujang pork belly bites are sweet and spicy, crispy and crunchy, and absolutely delicious. Whether you finish them with the gochujang sauce in the air fryer, or just dip them in the sauce at the end, they are irresistibly good.",4,"gochujang pork belly bites air fryer recipes air fryer recipes 1 pound pork belly 1/4 cup gochujang 2 tablespoons soy sauce 1 tablespoon honey, 1 teaspoon ground ginger preheat an air fryer to 400 degrees f (200 degrees c). place pork belly pieces in the basket in a single layer, not touching. air fry for 8 to 9 minutes; turn over and air fry for 6 to 7 minutes more. meanwhile, for sauce, stir gochujang, soy sauce, hot honey, and ginger together in a medium bowl. remove pork belly from air fryer basket; toss in sauce to coat. return to the air fryer and fry until bites begin to char at the edges, 8 to 11 minutes more. (alternately, you can use sauce only for dipping; in this case, continue to fry without removing bites, until they begin to char, 6 to 7 minutes.)","[""1 pound pork belly"", ""1/4 cup gochujang"", ""2 tablespoons soy sauce"", ""1 tablespoon honey,"", ""1 teaspoon ground ginger""]","[""asian"", ""chinese"", ""filipino"", ""japanese"", ""korean""]","[""sweet"", ""spicy"", ""savory"", ""umami""]",fast,42,medium,"[""gluten_free"", ""nut_free""]",64,"[""sugary""]",moderate
3-Ingredient Air Fryer Everything Bagel Chicken Strips,"These 3-ingredient air fryer everything bagel chicken strips are simple, flavorful, and delicious. Chicken tenders are easy to cook, but this easy? Wow! 5 minutes of prep time, 3 ingredients, and a quick fry in the air fryer, and dinner is ready in well under half an hour. My go-to dipping sauces are ranch dressing, brown gravy, or tartar sauce made with dill relish.",4,"3-ingredient air fryer everything bagel chicken strips air fryer recipes air fryer recipes 1 ?¬ pounds chicken tenders 1 tablespoon olive oil 1/3 cup everything bagel seasoning or to taste gather all ingredients. preheat an air fryer to 400 degrees f (200 degrees c), or according to manufacturer's instructions. place tenders in a bowl. add oil and toss to coat. add everything seasoning and toss to coat again. place tenders in the air fryer basket in a single layer; cook in batches if necessary. cook until no longer pink at the center and juices run clear, about 12 minutes. an instant read thermometer inserted near the center should read at least 165 degrees f (74 degrees c). transfer to a serving plate and serve with desired dipping sauce.","[""1 ?¬ pounds chicken tenders"", ""1 tablespoon olive oil"", ""1/3 cup everything bagel seasoning or to taste""]","[""european"", ""greek"", ""mediterranean"", ""middle eastern region""]","[""spicy"", ""savory""]",fast,42,medium,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",68,"[""healthy_fats"", ""fried""]",moderate
Air Fryer Everything Bagel Chicken Cutlets,"These air fryer everything bagel chicken cutlets, breaded with everything-seasoned panko breadcrumbs and air fried, are drizzled with a spicy-sweet ginger garlic sauce.",9,"air fryer everything bagel chicken cutlets air fryer recipes air fryer recipes 4 chicken cutlets (about 1 pound total) salt and freshly ground black pepper to taste 3/4 cup all-purpose flour 2 large eggs 2 tablespoons milk 3 ablespoons verything bagel seasoning 1 1/2 cups panko breadcrumbs olive oil cooking spray parchment preheat an air fryer to 400 degrees f (200 degrees c), or according to manufacturer's instructions. pat chicken cutlets dry with paper towels; season lightly with salt and pepper. place flour in a resealable plastic bag; set aside. beat eggs with milk until well blended in a shallow bowl. on a plate, stir everything bagel seasoning and panko together. add cutlets to the bag with flour. seal the bag and toss until cutlets are coated. working with 1 cutlet at a time, shake off any extra flour, dip each cutlet into egg mixture, and shake off any excess. press each cutlet into panko mixture, then turn and press crumbs into the other side to adhere. place breaded cutlets on a sheet of parchment; continue until all cutlets are coated. generously spray each cutlet with olive oil spray on both sides, and place cutlets in the air fryer in a single layer, working in batches if needed. air fry for 8 to 12 minutes, turning over halfway through, if desired. thin cutlets will take less time, and thick cutlets will take more. an instant read thermometer inserted near the center should read 165 degrees f (74 degrees c). meanwhile, for glaze, combine rice vinegar, water, brown sugar, sriracha, ginger, garlic, and soy sauce in a small saucepan and bring to a boil over medium heat. reduce heat, and simmer until barely thickened, 3 to 5 minutes. drizzle each cutlet with glaze and serve warm. garnish with fresh parsley sprigs.","[""4 chicken cutlets (about 1 pound total)"", ""salt and freshly ground black pepper to taste"", ""3/4 cup all-purpose flour"", ""2 large eggs"", ""2 tablespoons milk"", ""3 ablespoons verything Bagel seasoning"", ""1 1/2 cups panko breadcrumbs"", ""olive oil cooking spray"", ""parchment""]","[""asian"", ""chinese"", ""european"", ""filipino"", ""greek"", ""japanese"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""sweet"", ""spicy"", ""sour"", ""savory"", ""umami""]",fast,103,hard,"[""nut_free"", ""halal"", ""kosher""]",70,"[""plant_based"", ""healthy_fats"", ""sugary"", ""fried""]",moderate
Air Fryer Honey Sriracha Salmon Bites,"These air fryer honey Sriracha salmon bites are cubes of salmon, lightly seasoned with salt, pepper, olive oil, and a touch of Sriracha, then air fried to crispy perfection and drizzled with a bold, sticky honey-Sriracha sauce. These bites are perfect as an appetizer, rice bowl topping, or paired with a side of roasted vegetables.",5,"air fryer honey sriracha salmon bites air fryer recipes air fryer recipes 1 tablespoon soy sauce 1 tablespoon honey 1 tablespoon sriracha 1 teaspoon rice vinegar 1/4 teaspoon granulated garlic preheat an air fryer to 400 degrees f (200 degrees c). whisk soy sauce, honey, 1 tablespoon sriracha, rice vinegar, and granulated garlic together in a small bowl. set aside. pat salmon dry and cut into 1 1/2-inch cubes. toss salmon in olive oil, 1/2 tablespoon sriracha, salt, and pepper. spray basket of the air fryer with cooking spray. place seasoned salmon in the basket of the air fryer, working in batches to avoid overcrowding, if necessary. cook in the preheated air fryer for 4 minutes. gently turn salmon pieces and cook until salmon flakes easily with a fork, 3 to 4 more minutes. place on a serving platter, drizzle with honey-sriracha sauce, and garnish with green onion and sesame seeds. serve immediately.","[""1 tablespoon soy sauce"", ""1 tablespoon honey"", ""1 tablespoon Sriracha"", ""1 teaspoon rice vinegar"", ""1/4 teaspoon granulated garlic""]","[""asian"", ""chinese"", ""european"", ""filipino"", ""greek"", ""japanese"", ""korean"", ""mediterranean"", ""middle eastern region""]","[""sweet"", ""spicy"", ""sour"", ""savory"", ""umami""]",medium,52,medium,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",74,"[""plant_based"", ""healthy_fats"", ""sugary"", ""fried""]",moderate
Air Fryer Corn on The Cob,"Air fryer corn on the cob is super quick to make and full of sweet roasted corn flavor. I like to roll them in mayo, chili powder, lime juice, and cotija for all of the flavors you get in crispy Mexican street corn without having to fire up the grill!",4,"air fryer corn on the cob air fryer recipes air fryer recipes ?¬ cup mayonnaise 2 teaspoons crumbled cotija cheese 1 teaspoon lime juice ?¬ teaspoon chili powder 2 ears corn, shucked and halved 4 sprigs fresh cilantro, or to taste (optional) preheat an air fryer to 400 degrees f (200 degrees c). mix mayonnaise, cotija cheese, lime juice, and chili powder in a shallow dish. roll each piece of corn in the mayonnaise mixture until all sides are covered. place all 4 pieces of corn in the air fryer basket; cook in the preheated air fryer until golden, crisp, and tender, about 8 minutes. garnish with cilantro.","[""?¬ cup mayonnaise"", ""2 teaspoons crumbled cotija cheese"", ""1 teaspoon lime juice"", ""?¬ teaspoon chili powder"", ""2 ears corn, shucked and halved"", ""4 sprigs fresh cilantro, or to taste (Optional)""]","[""american_region"", ""asian"", ""caribbean"", ""thai"", ""vietnamese""]","[""spicy"", ""sour"", ""savory"", ""umami""]",fast,22,medium,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",70,"[""neutral""]",moderate
Air Fryer Peanut Chicken,"In this air fryer peanut chicken recipe, boneless, skinless chicken thighs are marinated in a spicy-sweet peanut marinade. Rice or noodles work with this dish, or cut it into bite-sized pieces and serve over a salad.",7,"air fryer peanut chicken air fryer recipes air fryer recipes 2 tablespoons thai sweet chili sauce 1 tablespoon soy sauce 1 tablespoon sriracha 1 lime, zested and juiced 1 teaspoon granulated garlic 1 tablespoon fresh ginger 1/3 cup creamy peanut butter salt to taste 6 skinless, boneless chicken thighs cooking spray 2 cups cooked rice, or as needed chopped cilantro dry-roasted peanuts combine chili sauce, soy sauce, sriracha, lime zest, lime juice, granulated garlic, minced ginger, peanut butter, and salt to taste in a large resealable plastic bag. gently move and mash the ingredients inside the bag until well blended. add chicken to the bag, and squeeze out as much air as possible. move chicken around inside the bag until each piece is coated in marinade. marinate in the refrigerator for at least 30 minutes and up to 24 hours. preheat an air fryer to 350 degrees f (180 degrees c), or according to manufacturer's recommendations. spray the cooking surface of the air fryer with cooking spray. take chicken pieces from the bag, and allow the marinade to drip back into the bag. place chicken pieces in the air fryer in a single layer and air fry for 20 to 22 minutes, turning halfway through, until an instant-read thermometer inserted near the center reads 165 degrees f (74 degrees c). meanwhile, add about 1/2 cup of water to the unused marinade, and mix contents; pour into a microwave-safe container. microwave on high, until marinade comes to a boil, and cook about 1 minute longer; watch carefully to see it does not boil over. serve chicken over rice, with sauce on the side as a dip. garnish with chopped cilantro, sliced scallions, julienne cucumbers and carrots, and chopped peanuts, as desired.","[""2 tablespoons Thai sweet chili sauce"", ""1 tablespoon soy sauce"", ""1 tablespoon Sriracha"", ""1 lime, zested and juiced"", ""1 teaspoon granulated garlic"", ""1 tablespoon fresh ginger"", ""1/3 cup creamy peanut butter"", ""salt to taste"", ""6 skinless, boneless chicken thighs"", ""cooking spray"", ""2 cups cooked rice, or as needed"", ""chopped cilantro"", ""dry-roasted peanuts""]","[""african"", ""american_region"", ""asian"", ""caribbean"", ""chinese"", ""european"", ""filipino"", ""french"", ""japanese"", ""korean"", ""thai"", ""vietnamese""]","[""sweet"", ""spicy"", ""sour"", ""savory"", ""umami""]",fast,53,medium,"[""gluten_free"", ""halal"", ""kosher""]",64,"[""plant_based"", ""healthy_fats"", ""fried""]",moderate
Air Fryer Crispy Onions,"These air fryer crispy onions are delicious over steaks, in burgers, or just as a side dish, plus this might be the easiest way to achieve golden, crispy onions ever.",3,"air fryer crispy onions air fryer recipes air fryer recipes 1/4 cup all-purpose flour 1/2 teaspoon cayenne pepper 1/4 teaspoon salt, or to taste 1 onion cooking spray preheat an air fryer to 375 degrees f (190 degrees c) according to manufacturer's instructions. combine flour, cayenne pepper, and salt in a bowl. add onion slices and toss until well coated. place onions in basket and spray with avocado oil. air fry until golden brown, 18 to 23 minutes, shaking basket every 4 to 5 minutes.","[""1/4 cup all-purpose flour"", ""1/2 teaspoon cayenne pepper"", ""1/4 teaspoon salt, or to taste"", ""1 onion"", ""cooking spray""]","[""unknown""]","[""spicy"", ""savory""]",fast,19,easy,"[""vegan"", ""nut_free"", ""halal"", ""kosher""]",80,"[""plant_based"", ""healthy_fats"", ""fried""]",healthy
Air Fryer Hot Honey Glazed Carrots,"These air fryer hot honey glazed carrots are a delicious side dish, and so easy to make, with only 3 ingredientsƒ??baby carrots, hot honey, and butter.",3,"air fryer hot honey glazed carrots air fryer recipes air fryer recipes nonstick cooking spray 2 tablespoons butter, 3 tablespoons hot honey, such as mike's hot honey?? 1 pound baby carrots preheat an air fryer to 400 degrees f (200 degrees c). spray the basket with nonstick spray. combine butter and hot honey in a bowl; add carrots and toss to coat. place carrots in the air fryer basket, allowing any excess sauce to drip off; set bowl with remaining sauce aside. cook in the preheated air fryer, tossing every 7 minutes, until carrots are roasted and fork-tender, about 15 to 22 minutes. toss cooked carrots in reserved sauce.","[""nonstick cooking spray"", ""2 tablespoons butter,"", ""3 tablespoons hot honey, such as Mike's Hot Honey??"", ""1 pound baby carrots""]","[""european"", ""french""]","[""sweet"", ""savory""]",fast,19,easy,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",62,"[""plant_based"", ""sugary"", ""fried""]",moderate
Air Fryer Sauteed Onions,"Air fryer sauteed onions add a lot to burgers, sandwiches, tacos, fajitas, or even rice or mashed potatoes. I like them as a topping for steaksƒ??the possibilities are endless.",3,air fryer sauteed onions air fryer recipes air fryer recipes 1 large onion 1 1/2 teaspoons olive oil salt and freshly ground black pepper preheat an air fryer to 400 degrees f (200 degrees c). place onion petals and olive oil in a bowl; season with salt and pepper and toss to coat. pour mixture into the basket of the air fryer. cook 10 minutes. shake the basket and cook 2 minutes more.,"[""1 large onion"", ""1 1/2 teaspoons olive oil"", ""salt and freshly ground black pepper""]","[""european"", ""greek"", ""mediterranean"", ""middle eastern region""]","[""savory""]",fast,24,medium,"[""vegan"", ""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",76,"[""plant_based"", ""healthy_fats"", ""fried""]",moderate
